Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
200,1771534140188,4,4,4,4,4,4,4,4,4,4,4,4,59.48148727416992,67.88862609863281,60.5,65.203125,65.30540466308594,64.16556549072266,59.62166213989258,67.0205307006836,65.74706268310547,67.87324523925781,65.12586975097656,63.70541763305664,23.809524536132813,14.285715103149414,0,0,14.285715103149414,0,0,0,0,0,4.545454502105713,0,31.439899444580078,25769803776,7516192768,14776877056,5823070208
209,1771534140389,4,4,4,4,4,4,4,4,4,4,4,4,59.48148727416992,67.88862609863281,60.5,65.203125,65.30540466308594,64.16556549072266,59.62166213989258,67.0205307006836,65.74706268310547,67.87324523925781,65.12586975097656,63.70541763305664,21.052631378173828,15.789472579956055,0,0,10,5,0,0,0,0,0,0,31.6004695892334,25769803776,7516192768,14724972544,5823070208
206,1771534140599,4,4,4,4,4,4,4,4,4,4,4,4,59.48148727416992,67.88862609863281,60.5,65.203125,65.30540466308594,64.16556549072266,59.62166213989258,67.0205307006836,65.74706268310547,67.87324523925781,65.12586975097656,63.70541763305664,27.272727966308594,14.285715103149414,0,0,13.636363983154297,13.636363983154297,0,0,0,0,0,0,31.6004695892334,25769803776,7516192768,14724988928,5823070208
209,1771534140806,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,22.72727394104004,0,0,10,14.285715103149414,0,0,0,0,0,0,31.6004695892334,25769803776,7516192768,14725005312,5823070208
209,1771534141016,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,10.526315689086914,0,0,14.285715103149414,0,0,0,0,0,0,0,31.6004695892334,25769803776,7516192768,14725005312,5823070208
208,1771534141226,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,22.72727394104004,4.545454502105713,0,9.523809432983398,9.523809432983398,0,0,0,0,0,4.545454502105713,31.6004695892334,25769803776,7516192768,14725005312,5823070208
209,1771534141434,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,10,0,0,9.523809432983398,4.761904716491699,0,0,0,0,0,0,17.13408851623535,25769803776,7516192768,14729166848,5823070208
208,1771534141645,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,9.523809432983398,0,0,10,0,0,0,0,0,0,0,17.13408851623535,25769803776,7516192768,14729134080,5823070208
209,1771534141853,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,19.047618865966797,0,0,9.523809432983398,9.090909004211426,0,0,0,0,0,0,17.13408851623535,25769803776,7516192768,14729101312,5823070208
205,1771534142064,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,20,0,0,14.285715103149414,4.761904716491699,0,0,0,0,0,0,17.13408851623535,25769803776,7516192768,14729216000,5823070208
209,1771534142270,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,15.000000953674316,0,0,14.285715103149414,5,0,0,0,0,0,0,17.13408851623535,25769803776,7516192768,14726119424,5823070208
207,1771534142480,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,19.047618865966797,0,0,5,4.761904716491699,0,0,0,0,0,0,7.7477006912231445,25769803776,7516192768,14723776512,5823070208
209,1771534142688,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,27.272727966308594,19.047618865966797,0,0,9.523809432983398,5,0,0,0,0,0,0,7.7477006912231445,25769803776,7516192768,14721171456,5823070208
207,1771534142897,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,14.285715103149414,0,0,14.285715103149414,9.090909004211426,0,0,0,0,0,0,7.7477006912231445,25769803776,7516192768,14718599168,5823070208
206,1771534143105,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,20,0,0,5,0,0,0,0,0,0,0,7.7477006912231445,25769803776,7516192768,14716026880,5823070208
205,1771534143312,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,22.72727394104004,0,0,13.636363983154297,0,0,0,0,0,0,0,11.701886177062988,25769803776,7516192768,14713470976,5823070208
209,1771534143518,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,21.052631378173828,0,0,15.000000953674316,9.090909004211426,0,0,0,0,0,0,11.701886177062988,25769803776,7516192768,14711177216,5823070208
203,1771534143728,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,22.72727394104004,0,0,9.523809432983398,9.523809432983398,0,0,0,0,0,0,11.701886177062988,25769803776,7516192768,14708555776,5823070208
208,1771534143932,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,10.526315689086914,0,0,15.000000953674316,0,0,0,0,0,0,0,11.701886177062988,25769803776,7516192768,14706163712,5823070208
205,1771534144141,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,19.047618865966797,0,0,14.285715103149414,9.090909004211426,0,0,0,0,0,0,11.701886177062988,25769803776,7516192768,14703591424,5823070208
208,1771534144347,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,10,0,0,5,5.263157844543457,0,0,0,0,0,0,10.47724437713623,25769803776,7516192768,14701215744,5823070208
209,1771534144556,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,18.18181800842285,0,0,9.523809432983398,9.523809432983398,0,0,0,0,0,0,10.47724437713623,25769803776,7516192768,14699757568,5823070208
209,1771534144766,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,22.72727394104004,14.285715103149414,0,0,9.523809432983398,13.636363983154297,0,0,0,0,0,0,10.47724437713623,25769803776,7516192768,14699855872,5823070208
202,1771534144975,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,45,35,28.571430206298828,33.333335876464844,30.000001907348633,28.571430206298828,30.000001907348633,27.272727966308594,27.272727966308594,27.272727966308594,38.095237731933594,30.000001907348633,10.47724437713623,25769803776,7516192768,14783725568,5823070208
199,1771534145178,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,45,40,47.619049072265625,45,38.095237731933594,31.57894515991211,42.85714340209961,45,45,40,52.38095474243164,52.38095474243164,10.47724437713623,25769803776,7516192768,14749040640,5823070208
207,1771534145378,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,47.619049072265625,42.85714340209961,47.36842346191406,45,31.57894515991211,30.000001907348633,40,35,36.842105865478516,40,45,42.105262756347656,8.49531078338623,25769803776,7516192768,14757494784,5823070208
