Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
205,1771534861646,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,55,66.66667175292969,4.761904716491699,0,52.38095474243164,57.142860412597656,0,0,0,0,10,0,8.323872566223145,25769803776,7516192768,15121268736,5823070208
205,1771534861851,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,15.000000953674316,0,0,5.263157844543457,5,0,0,0,0,0,0,8.323872566223145,25769803776,7516192768,15121317888,5823070208
207,1771534862057,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,19.047618865966797,0,0,15.000000953674316,9.523809432983398,0,0,0,0,0,0,8.323872566223145,25769803776,7516192768,15121334272,5823070208
207,1771534862265,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,20,0,0,18.18181800842285,0,0,0,0,0,0,0,8.323872566223145,25769803776,7516192768,15117926400,5823070208
208,1771534862474,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,22.72727394104004,0,0,9.523809432983398,9.090909004211426,0,0,0,0,0,0,11.87675952911377,25769803776,7516192768,15116763136,5823070208
209,1771534862682,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,21.052631378173828,0,0,5.263157844543457,20,0,0,0,0,0,0,11.87675952911377,25769803776,7516192768,14906916864,5823070208
208,1771534862892,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,14.285715103149414,0,0,14.285715103149414,4.761904716491699,0,0,0,0,0,0,11.87675952911377,25769803776,7516192768,14905786368,5823070208
205,1771534863100,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,19.047618865966797,0,0,18.18181800842285,9.523809432983398,0,0,0,0,4.761904716491699,9.090909004211426,11.87675952911377,25769803776,7516192768,14904082432,5823070208
203,1771534863307,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,15.000000953674316,0,0,10,0,0,0,0,0,4.761904716491699,0,7.953622341156006,25769803776,7516192768,14850834432,5823070208
208,1771534863511,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,23.809524536132813,0,0,14.285715103149414,14.285715103149414,0,0,0,0,0,0,7.953622341156006,25769803776,7516192768,14850867200,5823070208
